DEEPTaxaID,finalID,SUPERPHYLUM,PHYLUM,SUBPHYLUM,INFRAPHYLUM,SUPERCLASS,CLASS,SUBCLASS,INFRACLASS,SUPERORDER,ORDER,SUBORDER,INFRAORDER,SUPERFAMILY,FAMILY,SUBFAMILY,TRIBE,SUBTRIBE,GENUS,SPECIES,Synonym,FFG,SensitiveEPT,BCG_Attribute,Tol,TolSource,common_name,Notes,AddedBy,AddedDate,UpdatedSynonym
,Ptychoptera,,Arthropoda,Hexapoda,,,Insecta,,,,Diptera,Nematocera,,,Ptychopteridae,,,,Ptychoptera,,,,,,,,,,,,
,Helichus striatus,,Arthropoda,Hexapoda,,,Insecta,Pterygota,,,Coleoptera,Polyphaga,,,Dryopidae,,,,Helichus,Helichus striatus,,,,,,,,,,,
,Helichus suturalis,,Arthropoda,Hexapoda,,,Insecta,Pterygota,,,Coleoptera,Polyphaga,,,Dryopidae,,,,Helichus,Helichus suturalis,,,,,,,,,,,
,Drunella cornutella,,Arthropoda,Hexapoda,,,Insecta,,,,Ephemeroptera,,,,Ephemerellidae,,,,Drunella,Drunella cornutella,,,,,,,,,,,
,Perlesta,,Arthropoda,Hexapoda,,,Insecta,Pterygota,,,Plecoptera,,,,Perlidae,,,,Perlesta,,,,,,,,,,,,
