Waterbody Name,Station ID,Date Collected,Family,Final ID
Hedge Brook,20126,11/3/2023,Perlidae,Eccoptura xanthenes
Indian Meadow Brook,14842,10/16/2023,Rhyacophilidae,Rhyacophila fuscula
Indian Meadow Brook,14842,10/16/2023,Chloroperlidae,Sweltsa
Indian Meadow Brook,14842,10/16/2023,Isonychiidae,Isonychia
Indian Meadow Brook,14842,10/16/2023,Glossosomatidae,Glossosoma
Indian Meadow Brook,14842,10/16/2023,Perlidae,Acroneuria
Indian Meadow Brook,14842,10/16/2023,Heptageniidae,Epeorus
Indian Meadow Brook,14842,10/16/2023,Peltoperlidae,Tallaperla
Indian Meadow Brook,14842,10/16/2023,Taeniopterygidae,Taeniopteryx
Latimer Brook,18413,10/24/2023,Brachycentridae,Brachycentrus numerosus
Latimer Brook,18413,10/24/2023,Perlidae,Acroneuria
Latimer Brook,18495,10/24/2023,Glossosomatidae,Glossosoma
Latimer Brook,18495,10/24/2023,Brachycentridae,Brachycentrus numerosus
Latimer Brook,18495,10/24/2023,Perlidae,Acroneuria
Little Dam Tavern Brook,20876,11/16/2023,Apataniidae,Apatania
Little Dam Tavern Brook,20876,11/16/2023,Brachycentridae,Micrasema
Little Dam Tavern Brook,20876,11/16/2023,Perlidae,Eccoptura xanthenes
Little Dam Tavern Brook,20876,11/16/2023,Taeniopterygidae,Taeniopteryx
Moodus River,18871,11/12/2023,Perlidae,Acroneuria abnormis
Moodus River,18871,11/12/2023,Taeniopterygidae,Taeniopteryx
Moodus River,18871,11/12/2023,Capniidae,Capniidae
Moodus River,18871,11/12/2023,Rhyacophilidae,Rhyacophila fuscula
Moosehorn Brook,16861,10/31/2023,Perlidae,Acroneuria
Moosehorn Brook,16861,10/31/2023,Rhyacophilidae,Rhyacophila acutiloba
Moosehorn Brook,16861,10/31/2023,Pteronarcyidae,Pteronarcys
Morgan Brook,20887,9/17/2023,Chloroperlidae,Sweltsa
Morgan Brook,20887,9/17/2023,Pteronarcyidae,Pteronarcys biloba
Morgan Brook,20887,9/17/2023,Rhyacophilidae,Rhyacophila
Morgan Brook,20887,9/17/2023,Isonychiidae,Isonychia
Morgan Brook,20887,9/17/2023,Perlidae,Paragnetina
Muddy Brook,18694,5/5/2023,Rhyacophilidae,Rhyacophila fuscula
Muddy Brook,18694,5/5/2023,Peltoperlidae,Tallaperla
Muddy Brook,18694,5/5/2023,Heptageniidae,Epeorus
Muddy Brook,18694,5/5/2023,Perlidae,Acroneuria abnormis
NNT to Bunnell Brook,20666,10/4/2023,Perlidae,Perlidae
NNT to Bunnell Brook,20666,10/4/2023,Leuctridae,Leuctra
NNT to Bunnell Brook,20666,10/4/2023,Chloroperlidae,Sweltsa
NNT to Bunnell Brook,20666,10/4/2023,Rhyacophilidae,Rhyacophila
NNT to Bunnell Brook,20666,10/4/2023,Peltoperlidae,Tallaperla
NNT to Eightmile at Pleasant Valley Preserve,15314,5/5/2023,Rhyacophilidae,Rhyacophila
NNT to Eightmile at Pleasant Valley Preserve,15314,5/5/2023,Perlodidae,Isoperla
NNT to Eightmile at Pleasant Valley Preserve,15314,10/27/2023,Peltoperlidae,Tallaperla
NNT to Eightmile at Pleasant Valley Preserve,15314,10/27/2023,Perlidae,Perlidae
NNT to Farmington River,20885,9/19/2023,Brachycentridae,Adicrophleps hitchcocki
NNT to Farmington River,20885,9/19/2023,Chloroperlidae,Sweltsa
NNT to Farmington River,20885,9/19/2023,Perlodidae,Perlodidae
NNT to Farmington River,20885,9/19/2023,Peltoperlidae,Tallaperla
NNT to Farmington River,20885,9/19/2023,Rhyacophilidae,Rhyacophila
NNT to Shepaug River,18922,9/25/2023,Glossosomatidae,Glossosoma
NNT to Shepaug River,18922,9/25/2023,Peltoperlidae,Tallaperla
Peake Brook,17650,10/26/2023,Glossosomatidae,Glossosoma
Peake Brook,17650,10/26/2023,Brachycentridae,Brachycentrus numerosus
Peake Brook,17650,10/26/2023,Perlidae,Eccoptura xanthenes
Peake Brook,17650,10/26/2023,Peltoperlidae,Tallaperla
Peake Brook,17650,10/26/2023,Rhyacophilidae,Rhyacophila
Peake Brook,17650,10/26/2023,Apataniidae,Apatania
Peake Brook,17650,10/26/2023,Capniidae,Capniidae
Peckham Brook,17731,10/16/2023,Capniidae,Paracapnia
Peckham Brook,17731,10/16/2023,Perlidae,Eccoptura xanthenes
Peckham Brook,17731,10/16/2023,Peltoperlidae,Tallaperla
Peckham Brook,17731,10/16/2023,Glossosomatidae,Glossosoma
Peckham Brook,17731,10/16/2023,Rhyacophilidae,Rhyacophila carolina
Pine Brook,14396,10/18/2023,Chloroperlidae,Sweltsa
Pine Brook,14396,10/18/2023,Glossosomatidae,Glossosoma
Pine Brook,14396,10/18/2023,Capniidae,Capniidae
Pine Brook,14396,10/18/2023,Perlidae,Acroneuria abnormis
Railroad Brook,16995,10/28/2023,Glossosomatidae,Glossosoma
Railroad Brook,16995,10/28/2023,Perlidae,Acroneuria abnormis
Railroad Brook,16995,10/28/2023,Capniidae,Capniidae
Railroad Brook,16995,10/28/2023,Rhyacophilidae,Rhyacophila fuscula
Ransom Brook,19215,4/28/2023,Perlodidae,Isoperla
Ransom Brook,19215,4/28/2023,Perlidae,Paragnetina media
Ransom Brook,19215,4/28/2023,Rhyacophilidae,Rhyacophila fuscula
Ransom Brook,19215,10/27/2023,Perlidae,Paragnetina media
Ransom Brook,19215,10/27/2023,Brachycentridae,Brachycentrus numerosus
Ransom Brook,19215,10/27/2023,Peltoperlidae,Tallaperla
Raymond Brook,16999,10/29/2023,Taeniopterygidae,Taeniopteryx
Raymond Brook,16999,10/29/2023,Perlidae,Paragnetina media
Raymond Brook,16999,10/29/2023,Brachycentridae,Micrasema
Raymond Brook,16999,10/29/2023,Glossosomatidae,Glossosoma
Raymond Brook,16999,10/29/2023,Isonychiidae,Isonychia
Reichenbach Brook,20154,9/16/2023,Rhyacophilidae,Rhyacophila
Reichenbach Brook,20154,9/16/2023,Glossosomatidae,Glossosomatidae
Reichenbach Brook,20154,9/16/2023,Perlidae,Acroneuria
Rickenback Brook,20371,10/28/2023,Perlidae,Eccoptura xanthenes
Safford Brook,20880,11/17/2023,Taeniopterygidae,Taeniopteryx
Safford Brook,20880,11/17/2023,Glossosomatidae,Glossosoma
Safford Brook,20880,11/17/2023,Perlidae,Eccoptura xanthenes
Safford Brook,20880,11/17/2023,Apataniidae,Apatania
Safford Brook,20880,11/17/2023,Lepidostomatidae,Lepidostoma
Safford Brook,20880,11/17/2023,Heptageniidae,Epeorus
Safford Brook,20880,11/17/2023,Perlodidae,Perlodidae
Safford Brook,20880,11/17/2023,Chloroperlidae,Sweltsa
