DEEPTaxaID,finalID,SUPERPHYLUM,PHYLUM,SUBPHYLUM,INFRAPHYLUM,SUPERCLASS,CLASS,SUBCLASS,INFRACLASS,SUPERORDER,ORDER,SUBORDER,INFRAORDER,SUPERFAMILY,FAMILY,SUBFAMILY,TRIBE,SUBTRIBE,GENUS,SPECIES,Synonym,FFG
30,Eclipidrilus lacustris,,Annelida,,,,Clitellata,,,,Lumbriculida,,,,Lumbriculidae,,,,Eclipidrilus,lacustris,,C-G
31,Empis/Hilara/Rhamphomyia,,Arthropoda,,,,Insecta,,,,Diptera,,,,Empididae,,,,,,,PRD
32,Ephemerella/Serratella,,Arthropoda,,,,Insecta,,,,Ephemeroptera,,,,Ephemerellidae,,,,,,,C-G
33,Eukiefferiella brehmi group,,Arthropoda,,,,Insecta,,,,Diptera,,,,Chironomidae,Orthocladinae,,,Eukiefferiella,brehmi,,C-G
34,Eukiefferiella brevicalcar group,,Arthropoda,,,,Insecta,,,,Diptera,,,,Chironomidae,Orthocladinae,,,Eukiefferiella,brevicalcar,,C-G
35,Eukiefferiella claripennis group,,Arthropoda,,,,Insecta,,,,Diptera,,,,Chironomidae,Orthocladinae,,,Eukiefferiella,claripennis,,C-G
36,Eukiefferiella devonica group,,Arthropoda,,,,Insecta,,,,Diptera,,,,Chironomidae,Orthocladinae,,,Eukiefferiella,devonica,,C-G
37,Eukiefferiella potthastia,,Arthropoda,,,,Insecta,,,,Diptera,,,,Chironomidae,Orthocladinae,,,Eukiefferiella,potthastia,,C-G
38,Eukiefferiella potthastia group,,Arthropoda,,,,Insecta,,,,Diptera,,,,Chironomidae,Orthocladinae,,,Eukiefferiella,potthastia,,C-G
39,Eukiefferiella pseudomontana group,,Arthropoda,,,,Insecta,,,,Diptera,,,,Chironomidae,Orthocladinae,,,Eukiefferiella,pseudomontana,,C-G
40,Eukiefferiella tirolensis,,Arthropoda,,,,Insecta,,,,Diptera,,,,Chironomidae,Orthocladinae,,,Eukiefferiella,tirolensis,,C-G
41,Eurylophella aestiva,,Arthropoda,,,,Insecta,,,,Ephemeroptera,,,,Ephemerellidae,,,,Eurylophella,aestiva,Ephemerella aestiva,C-G
42,Eurylophella lutulenta,,Arthropoda,,,,Insecta,,,,Ephemeroptera,,,,Ephemerellidae,,,,Eurylophella,lutulenta,Ephemerella lutulenta,C-G
43,Eurylophella minimella,,Arthropoda,,,,Insecta,,,,Ephemeroptera,,,,Ephemerellidae,,,,Eurylophella,minimella,Ephemerella minimella,C-G
44,Eurylophella verisimilis,,Arthropoda,,,,Insecta,,,,Ephemeroptera,,,,Ephemerellidae,,,,Eurylophella,versimilis,Ephemerella verisimilis,C-G
45,Ferrissia walkeri,,Mollusca,,,,Gastropoda,,,,Basommatophora,,,,Ancylidae,,,,Ferrissia,walkeri,,SCR
46,Fossaria/Stagnicola,,Mollusca,,,,Gastropoda,,,,Basommatophora,,,,Lymnaeidae,,,,Fossaria,,,C-G
47,Gammarus pseudolimnaeus,,Arthropoda,,,,Malacostraca,,,,Amphipoda,,,,Gammaridae,,,,Gammarus,pseudolimnaeus,,C-G
48,Gomphus (Hylogomphus),,Arthropoda,,,,Insecta,,,,Odonata,,,,Gomphidae,,,,Gomphus,,Hylogomphus,PRD
49,Gomphus descriptus,,Arthropoda,,,,Insecta,,,,Odonata,,,,Gomphidae,,,,Gomphus,descriptus,,PRD
50,Hagenella canadensis,,Arthropoda,,,,Insecta,,,,Trichoptera,,,,Phryganeidae,,,,Hagenella,canadensis,,SHR
51,Helopicus subvarians,,Arthropoda,,,,Insecta,,,,Plecoptera,,,,Perlodidae,,,,Helopicus,subvarians,Isogenus subvarians,PRD
52,Heterocloeon curiosum,,Arthropoda,,,,Insecta,,,,Ephemeroptera,,,,Baetidae,,,,Heterocloeon,curiosum,,SCR
53,Hirudinea species A,,Annelida,,,,Clitellata,,,,,,,,,,,,,,,PRD
54,Hirudinea species B,,Annelida,,,,Clitellata,,,,,,,,,,,,,,,PRD
55,Hydatophylax argus/victor,,Arthropoda,,,,Insecta,,,,Trichoptera,,,,Limnephilidae,,,,Hydatophylax,,,SHR
56,Hydropsyche (frisoni/venularis),,Arthropoda,,,,Insecta,,,,Trichoptera,,,,Hydropsychidae,,,,Hydropsyche,,,C-F
57,Hylogomphus adelphus,,Arthropoda,,,,Insecta,,,,Odonata,,,,Gomphidae,,,,Hylogomphus,adelphus,,PRD
58,Isogenoides hansoni,,Arthropoda,,,,Insecta,,,,Plecoptera,,,,Perlodidae,,,,Isogenoides,hansoni,Isogenus,PRD
59,Isogenoides olivaceus,,Arthropoda,,,,Insecta,,,,Plecoptera,,,,Perlodidae,,,,Isogenoides,olivaceus,Isogenus,PRD
60,Isoperla dicala,,Arthropoda,,,,Insecta,,,,Plecoptera,,,,Perlodidae,,,,Isoperla,dicala,,PRD
61,Isoperla gibbsae/transmarina,,Arthropoda,,,,Insecta,,,,Plecoptera,,,,Perlodidae,,,,Isoperla,gibbsae,,PRD
62,Isoperla gibbsae/transmarina/richardsoni,,Arthropoda,,,,Insecta,,,,Plecoptera,,,,Perlodidae,,,,Isoperla,gibbsae,,PRD
63,Isoperla namata,,Arthropoda,,,,Insecta,,,,Plecoptera,,,,Perlodidae,,,,Isoperla,namata,,PRD
64,Lanthus vernalis,,Arthropoda,,,,Insecta,,,,Odonata,,,,Gomphidae,,,,Lanthus,vernalis,,PRD
65,Leuctra maria,,Arthropoda,,,,Insecta,,,,Plecoptera,,,,Leuctridae,,,,Leuctra,maria,,SHR
66,Libellulidae/Corduliidae,,Arthropoda,,,,Insecta,,,,Odonata,,,,,,,,,,,PRD
