"groups"
"Three_Rivers_Community_College"
"Eightmile_River_Wild_&_Scenic_Watershed"
"DEEP_RBV_Training"
"Vernon_Conservation_Commission"
"Other/Not_Listed_-_Please_explain_in_sample_comments_section"
"Greenwich_Inland_Wetlands_&_Watercourses_Agency"
"Washington_Montessori_School"
"Salmon_River_Watershed_Partnership"
"other"
"Pomperaug_River_Watershed_Coalition"
"Trout_Unlimited_-_Candlewood_Valley_Chapter"
"Farmington_River_Watershed_Association"
"The_Last_Green_Valley"
