Category,2016,2017,2018,2019,2020,2021,2022,2023
# RBV Samples Submitted,70,78,55,118,47,80,66,59
# Monitoring Stations,61,74,45,102,41,73,59,55
# Streams Monitored,55,61,43,89,36,65,52,53
# Samples w/ 4+ 'Most Wanted' Types,21,43,23,62,16,52,28,30
% of Samples w/ 4+  'Most Wanted' Types,30%,55%,42%,53%,34%,65%,43%,51%
