"Stream_Mun","staSeq","DATE_COL","Drunella","Isonychiidae","Epeorus","Peltoperlidae","Perlidae","Pteronarcyidae","MiscSmallStoneflies","Glossosomatidae","Apataniidae","Rhyacophilidae","Brachycentridae","Lepidostomatidae","Hydropsychidae","Philopotamidae","Heptageniidae","Psephenidae","Corydalidae","Anisoptera","Zygoptera","Amphipoda","Isopoda","Hirudinea","Chironimidae","Simuliidae","Gastropoda","Oligochaeta","Tipulidae","Elmidae","Baetidae","Athericidae","Planariidae","Bivalvia"
"East Branch Eightmile River, Unnamed tributary to (""Ransom Brook"") (SALEM)",19215,2025-03-28, , , , ,"X", ,"X", , ,"X","X", ,"X","X","X", ,"X","X", , , , , ,"X", , ,"X", , , , , 
"Keach Brook (PUTNAM)",19252,2025-11-03, , , ,"X","X", ,"X", , , , ,"X","X","X","X", ,"X","X","X", , , , , , , ,"X", , , , , 
"Blackledge River (MARLBOROUGH)",19455,2025-10-23, , ,"X", ,"X", , , , , , , ,"X","X","X","X","X","X", ,"X", , , , , , , ,"X","X","X", , 
"Roaring Brook #2 (LYME)",19458,2025-04-25,"X", ,"X", ,"X", ,"X", , ,"X", ,"X","X","X","X", ,"X","X","X", , , , , , , ,"X", , , , , 
"Roaring Brook #2 (LYME)",19458,2025-10-24, ,"X","X", ,"X", ,"X","X", , ,"X","X","X","X","X", ,"X","X", , , , , , ,"X", ,"X","X", ,"X", , 
"Eightmile River (EAST HADDAM)",19713,2025-09-11, ,"X","X", ,"X", , ,"X", , ,"X", ,"X","X","X","X","X","X", , , , , , , ,"X","X","X","X", , , 
"Spruce Brook (SOUTHBURY)",20046,2025-09-21, , , , ,"X", , , , ,"X", , ,"X","X","X","X","X","X", , , , , , , ,"X","X", ,"X", , , 
"Shepaug River, Unnamed tributary to (""Curtis Brook"") (WASHINGTON)",20096,2025-10-21, , , , , , ,"X","X", , , , ,"X", ,"X","X", ,"X", , , , , , ,"X", ,"X", , , , , 
"Round Hill Brook (OXFORD)",20314,2025-11-08, , , , ,"X", ,"X","X", , , ,"X","X", , , , ,"X", , , , , , ,"X","X","X","X", , , , 
"Salmon River, Unnamed tributary to (EAST HAMPTON)",20373,2025-09-06, , , , ,"X", ,"X","X", , , , ,"X","X","X", ,"X","X","X", , , , , ,"X", ,"X", ,"X","X", , 
"Wood Creek (BETHLEHEM)",20378,2025-09-21, ,"X", ,"X","X", , , , ,"X", , ,"X","X","X","X","X", , , , , , ,"X", ,"X","X","X","X", , , 
"Carmel Hill Brook (WOODBURY)",20486,2025-09-13, ,"X", ,"X","X","X", , , ,"X", , ,"X","X","X", , , , , , , , , , ,"X","X","X","X", , , 
"Elbow Brook (EAST HAMPTON)",20509,2025-10-14, , , ,"X","X", ,"X","X", , , , ,"X","X","X", ,"X","X","X", , , , , , , ,"X", , , , , 
"Roaring Brook (BURLINGTON)",20799,2025-09-27, , , , ,"X", , ,"X", , , , ,"X","X", , , , , ,"X", , , , , , , , ,"X", , , 
"Mianus River (Greenwich)",20805,2025-05-28, , , , ,"X", , , , , , , ,"X","X","X", , , , ,"X", , , , , ,"X", , , , , ,"X"
"Harris Brook  (SALEM)",20883,2025-10-24, ,"X", , ,"X", , , , , , , ,"X","X","X","X","X","X","X", , , , , , ,"X","X", , , , , 
"Fraser Brook  (SALEM)",20884,2025-03-28, , ,"X","X","X", ,"X", , ,"X", , , , , , ,"X","X", , , , , , , , ,"X","X", , , , 
"Fraser Brook  (SALEM)",20884,2025-11-07, , , ,"X","X", , , , , , ,"X","X", ,"X", ,"X","X","X", , , , , , , ,"X", , , , , 
"NNT to Eightmile River (East Haddam)",20976,2025-04-25, , ,"X","X","X", ,"X", , ,"X", , ,"X","X", ,"X","X","X","X", , , , ,"X", , ,"X", , , , , 
